probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,band_mean_auroc,band_max_folded,band_mean_cohens_dz,band_mean_excess,auroc_sd,n_draws,axis_mean_paired_cos
eval_v2,eval_v2,9,0.3214,0.5942999999999999,0.22811579993433034,1.0,diag_heldout,0.95,190,0,200,0.95,1.5510318608332192,1.5510318608332192,,0.3557,1.3229160608988888,0.9586666666666669,0.99,1.3131657087226236,0.36962,,,
eval_v2,harm_v2,9,0.3214,0.567,0.16526021568291213,-0.015842164038485373,offdiag_pooled,0.422,422,0,1000,0.5780000000000001,-0.09708282578225982,0.09708282578225982,0.65,0.01100000000000012,-0.06817738990065231,0.5237333333333334,0.816,0.03287681727083813,0.010716666666666663,,,
eval_v2,persona_v2,9,0.3214,0.7031,0.5716684571887651,0.08051122774630098,offdiag_pooled,0.734,734,0,1000,0.734,0.6457744416777017,0.6457744416777017,,0.03090000000000004,0.07410598448893657,0.9522,0.992,1.5570469847019939,0.28505333333333327,,,
eval_v2,story_v2_1k,9,0.3214,0.6737500000000001,0.4682535517811964,-0.052050780556879686,offdiag_pooled,0.34,340,0,1000,0.6599999999999999,-0.40217596882742707,0.40217596882742707,0.7,-0.013750000000000151,-0.06607758295376931,0.3713333333333333,0.812,-0.3377622429936183,-0.055419999999999955,,,
harm_v2,eval_v2,21,0.75,0.5917,0.21012570523472124,0.07841095053077116,offdiag_pooled,0.514,514,0,1000,0.514,0.027670611264913846,0.027670611264913846,0.6,-0.07769999999999999,-0.18245509396980739,0.4914666666666667,0.615,-0.036007918119422604,-0.033313333333333306,,,
harm_v2,harm_v2,21,0.75,0.6437,0.4298751052382582,1.0,diag_heldout,0.985,197,0,200,0.985,1.4733913182621445,1.4733913182621445,,0.34129999999999994,1.0435162130238864,0.9736666666666666,0.995,1.218357165735709,0.3145166666666666,,,
harm_v2,persona_v2,21,0.75,0.6691999999999999,0.4321706156887776,-0.05121452929732906,offdiag_pooled,0.452,452,0,1000,0.548,-0.05795609595448093,0.05795609595448093,0.6,-0.12119999999999986,-0.3742145197342967,0.5163333333333333,0.96,0.08114936554251176,0.00398666666666665,,,
harm_v2,story_v2_1k,21,0.75,0.76055,0.8133489305690688,0.07442712758019199,offdiag_pooled,0.855,855,0,1000,0.855,1.05915403032954,1.05915403032954,,0.09445000000000003,0.24580509976047116,0.7228666666666667,0.923,0.6289534145396846,0.018113333333333353,,,
persona_v2,eval_v2,15,0.5357,0.5950999999999999,0.2389188807638341,0.29552051219278436,offdiag_pooled,0.825,825,0,1000,0.825,0.8766988739290743,0.8766988739290743,,0.2299000000000001,0.6377799931652401,0.7622,0.844,0.6737899847841385,0.17315333333333338,,,
persona_v2,harm_v2,15,0.5357,0.6350499999999999,0.333827938681084,-0.23972159298919735,offdiag_pooled,0.193,193,0,1000,0.8069999999999999,-0.6989154642045206,0.6989154642045206,,0.17195000000000005,0.36508752552343654,0.4064666666666667,0.833,-0.2782353533637325,0.033316666666666626,,,
persona_v2,persona_v2,15,0.5357,0.6268500000000001,0.33438179806703894,1.0,diag_heldout,1.0,200,0,200,1.0,2.4487153176232535,2.4487153176232535,,0.37314999999999987,2.1143335195562143,0.9993333333333333,1.0,2.0837116601717,0.3321866666666667,,,
persona_v2,story_v2_1k,15,0.5357,0.7075,0.6020113120045805,0.13673058368974225,offdiag_pooled,0.939,939,0,1000,0.939,1.5561249472550631,1.5561249472550631,,0.23149999999999993,0.9541136352504827,0.8658,0.988,1.4281509717951688,0.1470466666666667,,,
random_20260731,eval_v2,18,0.6429,,,,null_pooled,0.47895000000000004,,,1000,0.5822499999999999,-0.07174111890833602,0.22494784446192267,,,,0.4871999999999999,0.6006499999999999,-0.03315019979674178,nan,0.1075734632704553,20,0.2875252366065979
random_20260731,harm_v2,18,0.6429,,,,null_pooled,0.46469999999999995,,,1000,0.6439999999999999,-0.09189024894381076,0.41475465037829584,,,,0.5116766666666666,0.73445,0.030952496563840744,nan,0.17572559349885922,20,0.5129621624946594
